date,prize_1st,prize_pre_3digit,prize_sub_3digits,prize_2digits
01/10/2017,880714,"['611', '726']","['462', '952']",52
16/09/2017,170143,"['172', '647']","['340', '388']",71
01/09/2017,143224,"['345', '679']","['195', '278']",65
16/08/2017,715431,"['115', '302']","['253', '945']",37
01/08/2017,756519,"['061', '386']","['787', '989']",36
16/07/2017,820327,"['584', '835']","['390', '823']",87
01/07/2017,112360,"['226', '489']","['005', '688']",26
16/06/2017,943142,"['626', '878']","['740', '373']",47
01/06/2017,053630,"['121', '218']","['581', '881']",61
16/05/2017,454891,"['008', '396']","['490', '603']",53
02/05/2017,008656,"['573', '949']","['773', '923']",35
16/04/2017,816729,"['766', '973']","['241', '807']",40
01/04/2017,392785,"['020', '057']","['500', '709']",80
16/03/2017,273863,"['324', '918']","['694', '941']",92
01/03/2017,978453,"['450', '560']","['052', '577']",78
16/02/2017,229116,"['128', '464']","['375', '953']",14
01/02/2017,054672,"['066', '807']","['426', '628']",42
17/01/2017,145157,"['511', '663']","['516', '836']",25
30/12/2016,377712,"['304', '890']","['477', '769']",46
16/12/2016,435286,"['596', '366']","['716', '199']",35
01/12/2016,086069,"['513', '873']","['148', '450']",77
16/11/2016,858383,"['682', '040']","['570', '558']",44
01/11/2016,785438,"['976', '824']","['752', '038']",86
16/10/2016,571947,"['692', '885']","['032', '587']",98
01/10/2016,887102,"['280', '194']","['458', '017']",33
16/09/2016,240650,"['583', '493']","['043', '160']",42
01/09/2016,638684,"['334', '335']","['630', '669']",62
16/08/2016,254004,"['966', '366']","['596', '631']",33
01/08/2016,272932,"['538', '983']","['472', '871']",57
16/07/2016,449764,"['734', '552']","['925', '158']",55
01/07/2016,082460,"['169', '609']","['173', '302']",53
16/06/2016,073816,"['804', '251']","['749', '321']",79
01/06/2016,511825,"['775', '111']","['937', '880']",14
16/05/2016,141737,"['382', '975']","['087', '268']",98
02/05/2016,399459,"['238', '403']","['671', '046']",02
16/04/2016,221609,"['228', '008']","['507', '523']",87
01/04/2016,066720,"['546', '390']","['285', '852']",92
16/03/2016,134918,"['877', '855']","['973', '004']",32
01/03/2016,439686,"['530', '426']","['155', '743']",06
16/02/2016,356364,"['699', '312']","['309', '535']",98
01/02/2016,927800,"['625', '999']","['054', '076']",09
17/01/2016,304371,"['031', '532']","['786', '743']",50
30/12/2015,008217,"['246', '264']","['895', '596']",02
17/12/2015,930255,"['140', '250']","['094', '638']",08
01/12/2015,915350,"['238', '181']","['714', '175']",78
16/11/2015,795283,"['241', '028']","['643', '802']",03
01/11/2015,361211,"['106', '757']","['166', '473']",45
16/10/2015,968630,"['457', '134']","['412', '054']",62
01/10/2015,594825,"['175', '918']","['440', '799']",07
16/09/2015,743148,"['435', '209']","['375', '084']",06
01/09/2015,021094,"['260', '403']","['068', '819']",89
16/08/2015,033363,[],"['781', '227', '624', '648']",40
01/08/2015,518677,[],"['333', '598', '648', '889']",53
16/07/2015,121507,[],"['761', '461', '830', '294']",49
01/07/2015,759049,[],"['565', '814', '081', '567']",26
16/06/2015,644742,[],"['429', '253', '386', '532']",05
02/06/2015,388881,[],"['314', '700', '876', '969']",65
16/05/2015,011421,[],"['799', '484', '851', '928']",38
02/05/2015,543466,[],"['818', '163', '366', '195']",30
16/04/2015,506260,[],"['101', '164', '495', '973']",38
01/04/2015,605704,[],"['558', '962', '557', '861']",70
16/03/2015,048151,[],"['339', '622', '623', '757']",92
01/03/2015,240237,[],"['498', '031', '857', '008']",34
16/02/2015,001864,[],"['843', '103', '825', '392']",90
01/02/2015,155537,[],"['083', '286', '813', '008']",79
16/01/2015,244351,[],"['068', '398', '595', '877']",74
30/12/2014,461704,[],"['853', '982', '535', '950']",57
16/12/2014,948354,[],"['080', '763', '775', '901']",90
01/12/2014,480449,[],"['820', '380', '580', '161']",11
16/11/2014,479804,[],"['179', '422', '480', '709']",25
01/11/2014,206608,[],"['607', '203', '855', '979']",44
16/10/2014,656409,[],"['647', '784', '848', '910']",94
01/10/2014,375615,[],"['251', '086', '159', '520']",44
16/09/2014,772269,[],"['112', '257', '342', '790']",35
01/09/2014,856763,[],"['308', '912', '477', '490']",22
16/08/2014,662842,[],"['639', '912', '187', '633']",91
01/08/2014,766391,[],"['349', '576', '623', '637']",82
16/07/2014,468728,[],"['104', '944', '117', '205']",45
01/07/2014,378477,[],"['123', '271', '441', '864']",39
16/06/2014,673920,[],"['158', '140', '639', '576']",95
01/06/2014,781198,[],"['160', '324', '409', '636']",18
16/05/2014,087523,[],"['150', '505', '112', '246']",20
02/05/2014,103297,[],"['143', '158', '673', '797']",52
16/04/2014,153406,[],"['344', '013', '355', '634']",26
01/04/2014,028866,[],"['186', '499', '835', '938']",95
16/03/2014,531404,[],"['250', '305', '400', '904']",79
01/03/2014,906318,[],"['116', '537', '753', '798']",35
16/02/2014,384245,[],"['397', '530', '074', '521']",01
01/02/2014,180149,[],"['406', '492', '888', '976']",95
16/01/2014,306902,[],"['077', '149', '242', '510']",52
30/12/2013,561072,[],"['513', '750', '503', '275']",48
16/12/2013,341767,[],"['111', '228', '742', '826']",79
01/12/2013,168795,[],"['734', '766', '074', '980']",27
16/11/2013,806925,[],"['069', '304', '672', '753']",28
01/11/2013,739804,[],"['502', '020', '256', '173']",47
16/10/2013,963289,[],"['402', '529', '876', '952']",60
01/10/2013,647882,[],"['576', '324', '650', '028']",14
16/09/2013,562684,[],"['056', '235', '574', '754']",63
01/09/2013,548123,[],"['281', '570', '800', '045']",05
16/08/2013,321327,[],"['417', '945', '448', '201']",20
01/08/2013,356435,[],"['880', '451', '718', '329']",82
16/07/2013,566996,[],"['352', '210', '584', '526']",86
01/07/2013,646905,[],"['075', '284', '903', '904']",51
16/06/2013,289673,[],"['390', '098', '114', '502']",69
01/06/2013,935489,[],"['480', '713', '716', '768']",90
16/05/2013,687125,[],"['034', '261', '390', '945']",56
02/05/2013,603458,[],"['272', '359', '516', '830']",07
16/04/2013,843846,[],"['834', '862', '906', '828']",86
01/04/2013,571688,[],"['170', '430', '670', '725']",53
16/03/2013,968433,[],"['860', '959', '175', '529']",52
01/03/2013,976241,[],"['972', '721', '133', '775']",37
16/02/2013,368257,[],"['657', '708', '109', '386']",09
01/02/2013,565566,[],"['452', '695', '641', '782']",66
16/01/2013,820981,[],"['555', '196', '374', '334']",08
30/12/2012,302358,[],"['589', '864', '126', '832']",00
16/12/2012,529524,[],"['734', '745', '778', '008']",72
01/12/2012,110443,[],"['434', '553', '489', '303']",43
16/11/2012,639500,[],"['576', '560', '804', '627']",15
01/11/2012,524694,[],"['217', '188', '285', '338']",63
16/10/2012,281343,[],"['089', '152', '396', '868']",28
01/10/2012,124025,[],"['940', '554', '291', '873']",58
16/09/2012,540143,[],"['123', '242', '752', '770']",79
01/09/2012,329997,[],"['148', '598', '639', '736']",07
16/08/2012,683877,[],"['032', '612', '730', '775']",28
01/08/2012,895590,[],"['820', '599', '796', '745']",50
16/07/2012,904050,[],"['897', '224', '159', '042']",11
01/07/2012,915900,[],"['715', '656', '530', '611']",60
16/06/2012,159373,[],"['238', '479', '547', '790']",51
01/06/2012,882727,[],"['606', '576', '895', '399']",38
16/05/2012,814418,[],"['504', '309', '902', '101']",31
02/05/2012,889501,[],"['589', '597', '426', '468']",29
16/04/2012,583470,[],"['088', '216', '722', '754']",62
01/04/2012,257562,[],"['074', '332', '581', '616']",69
16/03/2012,607064,[],"['333', '350', '573', '606']",08
01/03/2012,222518,[],"['295', '135', '711', '199']",79
16/02/2012,648684,[],"['906', '214', '111', '420']",18
01/02/2012,320605,[],"['426', '498', '598', '749']",32
16/01/2012,451445,[],"['328', '150', '941', '639']",81
30/12/2011,526402,[],"['168', '026', '541', '597']",65
16/12/2011,884178,[],"['784', '235', '295', '651']",21
01/12/2011,408147,[],"['922', '253', '857', '739']",02
16/11/2011,997777,[],"['425', '551', '406', '993']",57
01/11/2011,805540,[],"['065', '221', '380', '771']",54
16/10/2011,955756,[],"['057', '329', '507', '991']",83
01/10/2011,511052,[],"['104', '189', '499', '957']",15
16/09/2011,731198,[],"['384', '645', '812', '589']",28
01/09/2011,724533,[],"['847', '021', '533', '821']",85
16/08/2011,536960,[],"['814', '345', '074', '005']",62
01/08/2011,218756,[],"['221', '583', '660', '703']",12
16/07/2011,116556,[],"['052', '227', '534', '609']",12
01/07/2011,622953,[],"['390', '160', '780', '463']",51
16/06/2011,351276,[],"['486', '167', '162', '582']",88
01/06/2011,562370,[],"['346', '556', '656', '801']",46
16/05/2011,406417,[],"['044', '071', '700', '889']",05
02/05/2011,054136,[],"['133', '421', '524', '945']",85
16/04/2011,825988,[],"['263', '213', '397', '593']",44
01/04/2011,814931,[],"['723', '584', '040', '036']",01
16/03/2011,593331,[],"['209', '463', '737', '945']",96
01/03/2011,656037,[],"['357', '396', '544', '926']",97
16/02/2011,481746,[],"['384', '388', '510', '535']",27
01/02/2011,610089,[],"['121', '361', '432', '596']",55
16/01/2011,281062,[],"['185', '227', '546', '758']",23
30/12/2010,884112,[],"['153', '186', '933', '936']",49
16/12/2010,334380,[],"['306', '315', '529', '533']",24
01/12/2010,181752,[],"['086', '470', '474', '664']",09
16/11/2010,813993,[],"['129', '763', '907', '979']",43
01/11/2010,191100,[],"['653', '739', '801', '968']",59
16/10/2010,621377,[],"['310', '385', '518', '872']",42
01/10/2010,488372,[],"['003', '091', '246', '996']",02
16/09/2010,017422,[],"['103', '316', '431', '075']",66
01/09/2010,354656,[],"['096', '570', '656', '784']",11
16/08/2010,911097,[],"['448', '578', '689', '986']",64
01/08/2010,210008,[],"['182', '191', '727', '769']",10
16/07/2010,180387,[],"['024', '219', '309', '572']",34
01/07/2010,480239,[],"['450', '893', '918', '961']",68
16/06/2010,500104,[],"['200', '628', '681', '816']",73
01/06/2010,444874,[],"['298', '374', '673', '996']",81
16/05/2010,480012,[],"['008', '151', '293', '770']",12
02/05/2010,360371,[],"['040', '382', '517', '618']",06
16/04/2010,211743,[],"['154', '285', '744', '811']",96
01/04/2010,959517,[],"['040', '174', '447', '663']",22
16/03/2010,364222,[],"['229', '619', '756', '996']",97
01/03/2010,215227,[],"['457', '627', '374', '470']",97
16/02/2010,133707,[],"['026', '137', '362', '985']",03
01/02/2010,186312,[],"['403', '577', '694', '936']",14
16/01/2010,073577,[],"['413', '459', '646', '781']",67
30/12/2009,994304,[],"['337', '419', '598', '993']",87
16/12/2009,685141,[],"['142', '524', '694', '775']",05
01/12/2009,776980,[],"['188', '252', '412', '937']",59
16/11/2009,055986,[],"['072', '299', '536', '952']",58
01/11/2009,689140,[],"['366', '465', '642', '923']",85
16/10/2009,258487,[],"['122', '135', '174', '226']",00
01/10/2009,169387,[],"['255', '714', '435', '249']",06
16/09/2009,202912,[],"['166', '200', '353', '539']",48
01/09/2009,015865,[],"['435', '446', '447', '924']",32
16/08/2009,462933,[],"['292', '577', '658', '843']",96
01/08/2009,154986,[],"['239', '374', '421', '688']",92
16/07/2009,000816,[],"['005', '177', '356', '836']",94
01/07/2009,207542,[],"['107', '233', '385', '799']",66
16/06/2009,930456,[],"['044', '125', '179', '954']",15
01/06/2009,777661,[],"['097', '240', '242', '642']",26
16/05/2009,111411,[],"['362', '368', '838', '892']",54
02/05/2009,294452,[],"['222', '301', '549', '947']",11
16/04/2009,368415,[],"['007', '179', '570', '954']",33
01/04/2009,816578,[],"['044', '113', '363', '572']",50
16/03/2009,268812,[],"['063', '228', '424', '929']",36
01/03/2009,553091,[],"['224', '238', '295', '665']",67
16/02/2009,038730,[],"['115', '434', '939', '961']",93
01/02/2009,534533,[],"['015', '427', '660', '777']",69
16/01/2009,743212,[],"['266', '800', '842', '885']",25
30/12/2008,218596,[],"['094', '197', '831', '984']",22
16/12/2008,074114,[],"['305', '715', '803', '959']",25
01/12/2008,205434,[],"['013', '260', '617', '957']",05
16/11/2008,002612,[],"['068', '589', '824', '877']",20
01/11/2008,272028,[],"['285', '333', '421', '929']",76
16/10/2008,431277,[],"['324', '526', '644', '648']",98
01/10/2008,882911,[],"['204', '302', '311', '395']",67
16/09/2008,012377,[],"['378', '534', '557', '691']",56
01/09/2008,695993,[],"['027', '206', '413', '904']",09
16/08/2008,380377,[],"['161', '445', '457', '744']",36
01/08/2008,850348,[],"['236', '386', '408', '913']",11
